case_id,case_name,short_label,year_first_reported,year_deployed_or_used,country,region,jurisdiction_type,source_repository,primary_sources,secondary_sources,source_quality_score,source_quality_rationale,system_type,model_or_algorithm_type,deployer,deployer_type,vendor,public_private_partnership,deployment_status,affected_population,estimated_scale,scale_basis,annex_iii_area,annex_iii_subcategory,annex_mapping_type,annex_mapping_confidence,annex_mapping_rationale,eu_scope_note,decision_criticality_score,decision_criticality_rationale,decision_criticality_confidence,autonomy_score,autonomy_rationale,autonomy_confidence,vulnerability_score,vulnerability_rationale,vulnerability_confidence,oversight_score,oversight_rationale,oversight_confidence,recourse_score,recourse_rationale,recourse_confidence,scale_score,scale_rationale,scale_confidence,opacity_score,opacity_rationale,opacity_confidence,monitoring_score,monitoring_rationale,monitoring_confidence,public_record_excerpt,coding_notes,ambiguity_flags,exclusion_reason,last_verified_date,context_severity_index,context_severity_band,known_dimension_count,missing_dimensions_count,evidence_completeness_index,unknown_as_zero_score,unknown_as_neutral_score,unknown_as_conservative_score,unknown_as_zero_band,unknown_as_neutral_band,unknown_as_conservative_band,high_missingness_flag,low_source_quality_flag,sensitivity_band_change,review_required_flag,dataset_version
CSA-LITE-0001,COMPAS Recidivism Risk Scoring Tool,COMPAS Recidivism,2016,2013,United States,North America,united_states,AIAAIC,https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing;https://www.documentcloud.org/documents/2702103-ProPublica-Methods-and-Analysis.html,https://www.washingtonpost.com/news/monkey-cage/wp/2016/10/17/can-an-algorithm-be-racist/,4,Primary investigative journalism with published methodology; Wisconsin Supreme Court filings; peer-reviewed academic literature,risk_assessment,proprietary logistic regression,Multiple US state courts and county probation departments,court_or_justice_body,Equivant (formerly Northpointe),false,litigated,"Criminal defendants subject to pre-trial detention, sentencing, and parole decisions",Hundreds of thousands of defendants per year across multiple US states,ProPublica Broward County dataset; vendor commercial distribution,law_enforcement,Recidivism risk assessment for criminal justice,direct,high,Directly maps to Annex III law enforcement: automated recidivism scoring used in US criminal sentencing and parole,US deployment; Annex III mapping is analytical reference only,2,Scores influence pre-trial detention and sentencing decisions affecting liberty and livelihood,high,1,Scores materially influence judicial decisions; judges formally retain authority but documented high deference rates,high,2,Criminal defendants including pre-trial detainees; incarceration context constitutes heightened vulnerability,high,1,Judges nominally review; no documented requirement to justify deviation; high deference observed in ProPublica analysis,high,2,Algorithm was proprietary trade secret; courts rejected disclosure; defendants could not challenge methodology,high,2,Commercial deployment across multiple US states; hundreds of thousands of decisions annually,high,2,Northpointe refused to disclose algorithm; trade secret protection upheld; no public documentation of features or weights,high,2,No systematic monitoring; racial disparity in false positive rates discovered by ProPublica investigative journalism 2016,high,ProPublica found COMPAS was nearly twice as likely to falsely flag Black defendants as future criminals compared to white defendants with equal reoffending rates. The vendor declined to disclose the algorithm. Courts across more than a dozen US states used COMPAS scores in sentencing.,Subject of Wisconsin Supreme Court State v Loomis 2016 which upheld use despite opacity; ProPublica vs Northpointe methodology dispute fully documented in public record,Autonomy score contested between formal judicial authority and documented de-facto deference; exact national deployment scale not officially published,,2026-05-27,14,severe,8,0,1.0,14,14,14,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0002,Australian Robodebt Welfare Debt Recovery,Robodebt Australia,2017,2016,Australia,Oceania,oceania,AIAAIC,https://robodebt.royalcommission.gov.au/publications/report;https://www.abc.net.au/news/2019-07-30/robodebt-to-be-investigated-by-senate-inquiry/11360106,,4,Royal Commission with full published report; Senate inquiry; multiple court proceedings; extensive investigative journalism,automated_decision_system,income averaging algorithm,Australian Department of Human Services,public_authority,,false,withdrawn,Welfare benefit recipients and former recipients,Approximately 900000 debt notices issued 2016-2019,Department of Human Services statistics; Royal Commission report 2023,essential_services_benefits,Automated welfare debt recovery and overpayment assessment,direct,high,Directly maps to Annex III essential services: automated eligibility and debt determination affecting welfare access,Australian deployment; Annex III mapping is analytical reference only,2,Automated debt demands caused severe financial distress; multiple deaths by suicide attributed to programme stress,high,2,Fully automated income averaging with no individual human review of debt calculations before issuance,high,2,Welfare recipients including unemployed and low-income Australians; limited institutional resources to contest,high,2,No individual case review before debt notice; errors identified only when recipients contested,high,2,Onus reversed to recipients to disprove income average; practically unavailable for those with historical records destroyed,high,2,National deployment across Australian welfare system; approximately 900000 debt notices issued,high,2,Income averaging methodology not disclosed in notices; debt calculation basis not explained to recipients,high,2,No post-deployment monitoring; systematic flaws discovered via ABC journalism and individual complaints; Royal Commission confirmed unlawfulness,high,The Australian Royal Commission found the Robodebt scheme automatically generated welfare debt notices by averaging ATO income data against Centrelink records without individual review. Approximately 900000 notices were issued. The Commission found the scheme was unlawful from inception and caused significant harm including deaths.,Royal Commission 2022-2023 found scheme was not a lawful debt; government paid approximately AUD 1.8 billion in settlements; Prime Minister apologised,Exact number of deaths attributable to scheme disputed; Royal Commission declined to publish full attribution findings for individual cases,,2026-05-27,16,severe,8,0,1.0,16,16,16,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0003,UK Ofqual A-Level Calculated Grades Algorithm 2020,UK A-Level Algo 2020,2020,2020,United Kingdom,Western Europe,united_kingdom,AIAAIC,https://www.ofqual.gov.uk/files/2020-09-07-letter-to-students.pdf;https://www.gov.uk/government/publications/awarding-gcse-as-a-levels-in-summer-2020-info-for-heads-of-centre-principals-relevant-ao,https://www.theguardian.com/education/2020/aug/13/england-a-level-results-computer-algorithm-override-teachers,3,Government and Ofqual publications; subsequent parliamentary inquiry; substantial investigative journalism,automated_decision_system,standardisation algorithm,Ofqual (Office of Qualifications and Examinations Regulation),public_authority,,false,withdrawn,UK A-level and GCSE students in summer 2020,Approximately 700000 A-level and 1.5 million GCSE entries,Ofqual statistical releases,education_vocational_training,Automated grade standardisation replacing teacher-assessed grades for university access,direct,high,Directly maps to Annex III education: automated system determining grades for university access decisions,UK deployment; pre-dates UK AI Act; Annex III mapping is analytical reference only,2,Grades determined university access; life-altering educational consequences for affected cohort,high,2,Fully automated grade calculation replacing teacher predictions with no individual student case review,high,1,Students in asymmetric institutional context with limited ability to contest automated grades,medium,2,No individual oversight of algorithm outputs; applied historical school-level data overriding teacher assessments,high,1,Appeals mechanism existed but initially accepted only centre-assessed grades; process reversed after public outcry,medium,2,National deployment affecting all UK A-level students in single cohort; approximately 700000,high,2,Standardisation model not publicly disclosed at time of results; specification released only after controversy,high,2,No monitoring; severe downgrading of disadvantaged students discovered on results day; algorithm withdrawn after 9 days,high,Ofqual's standardisation algorithm downgraded 39 per cent of teacher-predicted A-level grades. Students from schools with historically lower performance were disproportionately affected. The algorithm was withdrawn 9 days after results were published and teacher-predicted grades were restored.,Algorithm withdrawn and teacher grades restored; Ofqual and Secretary of State apologised; parliamentary inquiry conducted 2020,Whether algorithm disproportionately affected state versus private school students by design or as emergent effect remained technically contested,,2026-05-27,14,severe,8,0,0.915,14,14,14,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0004,Amazon AI CV Screening Tool,Amazon CV Screener,2018,2014,United States,North America,united_states,AIAAIC,https://www.reuters.com/article/us-amazon-com-jobs-automation-insight-idUSKCN1MK08G,,3,Reuters investigative reporting with named Amazon sources; confirmed by company; no official government documentation,automated_decision_system,machine learning ranking model,Amazon.com Inc.,employer,Amazon.com Inc.,false,withdrawn,Job applicants for technical roles at Amazon,Thousands of applicants per year processed through the tool,Reuters reporting citing Amazon team estimates,employment_worker_management,Automated CV screening and ranking for technical job applications,direct,high,Directly maps to Annex III employment: AI system used for recruitment screening and candidate ranking,US deployment; Annex III mapping is analytical reference only,2,Hiring decisions affect livelihood and career access; consequential for affected applicants,high,2,Automated ranking filtered applicants without human review of rejected candidates,high,1,Job applicants in asymmetric institutional context with limited visibility into selection process,medium,1,HR teams nominally reviewed shortlists; rejected candidates received no human review,medium,2,Applicants unaware of AI screening; no mechanism to contest or understand basis for rejection,high,1,Internal Amazon use only; not sold commercially; institutional-scale deployment within one company,high,2,Applicants unaware of system existence; no disclosure of AI screening or ranking criteria,high,1,Discovered internally by Amazon machine learning team; project cancelled before widespread deployment,medium,Amazon's internal ML team built a CV screening tool trained on historical hiring decisions. The tool was found to penalise CVs containing the word women and graduates of all-women's colleges. Amazon scrapped the project in 2018 when bias could not be corrected.,Amazon has stated it did not use the tool to evaluate live candidates; disputed whether it influenced any actual hiring decisions,Extent of actual use in live hiring decisions is disputed; Reuters states it was not used in live evaluation; internal testing only confirmed,,2026-05-27,12,severe,8,0,0.8725,12,12,12,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0005,SyRI Netherlands Welfare Fraud Detection,SyRI Netherlands,2019,2014,Netherlands,Western Europe,eu_member_state,AIAAIC,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2020:1878;https://www.privacybarometer.nl/maatregel/45/Systeemrisico-indicatie_(SyRI),https://www.amnesty.nl/content/uploads/2019/02/SyRI-uitleg.pdf,4,Court ruling with full legal reasoning; Dutch government legislative history; Amnesty investigation; legal aid proceedings,fraud_detection,undisclosed algorithm,Dutch Ministry of Social Affairs and Employment,public_authority,,true,litigated,Residents of designated high-risk postcode areas; disproportionately low-income and migrant communities,Population of targeted municipalities covering hundreds of thousands of residents,Dutch government SyRI deployment records; parliamentary documentation,essential_services_benefits,Automated welfare fraud risk profiling of entire postcode populations,direct,high,Directly maps to Annex III essential services: automated risk scoring affecting welfare benefits and social service access,EU member state deployment; struck down by Hague District Court as violating ECHR Art.8; cited in EU AI Act debates,2,Fraud flags lead to benefit investigations and suspension; significant welfare and livelihood consequences,high,2,Automated risk profiling with de-facto determinative effect on who was investigated,high,2,Welfare recipients and residents in targeted postcodes including migrants and low-income households,high,2,No individual review of risk scores before investigation initiation; subjects not informed of their score,high,2,Targets not informed they were scored; no mechanism to challenge or access score,high,2,National deployment in multiple Dutch municipalities covering large resident populations,high,2,Algorithm criteria entirely secret; Hague court found opacity violated transparency requirements under ECHR Art.8,high,2,No monitoring; legal challenge by Privacy First Foundation exposed methodology; court ordered discontinuation 2020,high,The Hague District Court struck down SyRI in February 2020 finding it violated Article 8 of the European Convention on Human Rights. The court found the government had not demonstrated necessity and that the opacity made meaningful challenge impossible. Residents in targeted postcodes were scored without their knowledge.,Landmark ECHR Art.8 decision; first court finding that a welfare fraud AI system violated fundamental rights; preceded EU AI Act debates,Exact algorithm features and thresholds never published; extent of decisions made on basis of SyRI scores not fully quantifiable,,2026-05-27,16,severe,8,0,1.0,16,16,16,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0006,PredPol Predictive Policing Los Angeles,PredPol LA,2012,2011,United States,North America,united_states,AIAAIC,https://laist.com/news/lapd-predictive-policing-predpol;https://www.latimes.com/california/story/2020-04-21/lapd-ends-use-of-predictive-policing-technology,,3,Journalism with documented LAPD statements; LAPD audit report; academic studies; ACLU analysis,predictive_model,hotspot prediction algorithm,Los Angeles Police Department,law_enforcement_agency,PredPol Inc. (Geolitica),false,withdrawn,Residents of algorithmically predicted high-crime locations; disproportionate impact on minority communities,Multiple city-wide deployments; Los Angeles covered approximately 20 patrol divisions,LAPD deployment records; vendor documentation,law_enforcement,Crime location prediction directing police patrol resources,direct,high,Directly maps to Annex III law enforcement: AI system used for predictive risk assessment directing police deployment,US deployment; Annex III mapping is analytical reference only,1,Location-level predictions do not directly affect individual rights but influence police presence and enforcement,medium,1,Algorithm informs patrol deployment decisions; officers retain formal discretion over individual interactions,high,1,Residents in targeted areas; documented disparate impact on Black and Latino communities,medium,1,Officers nominally retain discretion; no formal oversight of the algorithmic targeting itself,medium,2,Community members in targeted areas have no mechanism to challenge their neighbourhood being flagged,high,2,Deployed citywide across multiple US cities including Los Angeles; significant urban scale,high,2,Proprietary PredPol model; algorithm and training data not publicly disclosed,high,2,LAPD audit found no crime reduction benefit; self-reinforcing feedback loop documented; system discontinued 2020,high,Los Angeles Police Department deployed PredPol from 2011 to direct patrol resources to algorithmically predicted hot spots. An internal LAPD audit found no evidence of crime reduction. Critics documented a self-reinforcing feedback loop where over-policed areas generated more arrest data feeding the model.,LAPD discontinued PredPol in 2020 following community opposition and lack of effectiveness evidence; Santa Cruz became first US city to ban predictive policing 2020,Self-reinforcing feedback loop well documented but extent to which PredPol versus other policing practices caused disparate arrest rates is contested,,2026-05-27,12,severe,8,0,0.8725,12,12,12,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0007,IBM Watson for Oncology Treatment Recommendations,IBM Watson Oncology,2018,2013,United States,North America,united_states,AIID,https://www.statnews.com/2017/09/05/watson-ibm-cancer/;https://www.bmj.com/content/381/bmj-2023-074374,https://www.healthaffairs.org/doi/10.1377/hlthaff.2020.00026,3,Investigative journalism with named clinical sources; peer-reviewed academic studies; hospital internal audit documents reported publicly,recommender_or_allocation_system,large language model with oncology knowledge base,Multiple hospitals globally including MD Anderson and Bumrungrad International,healthcare_provider,IBM Corporation,false,withdrawn,Cancer patients receiving treatment recommendations,Approximately 230 hospitals across 14 countries by 2018,IBM commercial partnership agreements; STAT News investigation,non_annex_comparator,Clinical decision support for oncology; healthcare not enumerated in Annex III,comparator,medium,Healthcare clinical decision support does not fall within Annex III; mapped as non-Annex comparator for cross-domain analysis,US origin deployed internationally; not within EU AI Act scope at time of deployment,2,Cancer treatment recommendations affect health outcomes; incorrect recommendations can cause serious harm,high,1,Treatment recommendations provided to oncologists who formally retain clinical decision authority,high,2,Cancer patients with life-threatening illness; heightened vulnerability due to health status,high,1,Oncologists review recommendations but institutional pressure documented; limited ability to assess Watson outputs,medium,0,Standard medical second opinion and complaints procedures available to patients,medium,1,Deployed across multiple countries; significant institutional scale,medium,1,Watson trained on hypothetical cases not real patient data; disclosed in STAT News investigation after deployment,medium,2,No systematic monitoring; STAT News obtained internal MD Anderson documents showing unsafe recommendations contradicting expert panel guidelines,high,Internal MD Anderson documents obtained by STAT News showed IBM Watson for Oncology was making treatment recommendations that physicians found unsafe and contraindicated by best practice guidelines. MD Anderson cancelled its USD 62 million contract with IBM in 2017. Watson had been trained on hypothetical patient cases rather than real patient records.,IBM Watson for Oncology subsequently deprecated; IBM sold Watson Health division 2022; case well documented via STAT News investigation and leaked hospital documents,Clinical impact on individual patients difficult to quantify; number of patients receiving suboptimal recommendations not publicly disclosed,,2026-05-27,10,high,8,0,0.83,10,10,10,high,high,high,False,False,False,False,0.2.0
CSA-LITE-0008,HireVue AI Video Interview Screening,HireVue Video AI,2019,2014,United States,North America,united_states,AIAAIC,https://www.acm.org/binaries/content/assets/public-policy/2020-12-hirevue-report.pdf;https://theintercept.com/2020/12/08/hugging-face-ai-hiring-bias-hirevue/,https://www.washingtonpost.com/technology/2019/10/22/ai-hiring-face-scanning-algorithm-increasingly-decides-whether-you-deserve-job/,3,ACM technical assessment; The Intercept investigation; journalism with named corporate users; Congressional inquiry documentation,automated_decision_system,facial expression and voice analysis AI,Multiple large employers including Goldman Sachs and Unilever,employer,HireVue Inc.,false,deployed,Job applicants undergoing automated video interview screening,More than 100 large employers; millions of video interviews processed,HireVue commercial documentation; industry estimates,employment_worker_management,Automated video interview analysis for hiring pre-screening,direct,high,Directly maps to Annex III employment: AI system used for pre-screening job applicants before human review,US-headquartered; deployed globally including in EU member states,2,Hiring decisions directly affect employment access and livelihood,high,2,Automated scoring of video interviews filters candidates before any human review; rejected candidates receive no human evaluation,high,1,Job applicants in asymmetric institutional context with no visibility into scoring,medium,1,Hiring managers review only shortlisted candidates; majority assessed by algorithm alone,medium,2,Applicants not informed of AI scoring basis; no mechanism to understand or challenge automated assessment,high,2,Deployed by 100+ major global employers; millions of candidates processed,high,2,Proprietary model; facial expression and voice analysis features not disclosed to candidates,high,1,HireVue discontinued facial expression analysis in 2021 under pressure; commissioned external audit but published selectively,medium,"HireVue's AI video interview system analysed facial expressions, voice tone, and word choice to score job candidates before human review. Following public criticism and an ACM assessment, HireVue announced it would discontinue facial expression analysis in January 2021. Illinois enacted an AI Video Interview Act requiring prior consent.",HireVue dropped facial expression analysis 2021; claimed proactive decision; FTC scrutiny of AI hiring sector ongoing; Illinois AI Video Interview Act 2020 requires consent,Extent to which facial expression analysis was predictively valid or legally discriminatory remains scientifically and legally contested,,2026-05-27,13,severe,8,0,0.8725,13,13,13,severe,severe,severe,False,False,False,False,0.2.0
CSA-LITE-0009,Allegheny Family Screening Tool Child Welfare,Allegheny AFST,2016,2016,United States,North America,united_states,AIID,https://www.alleghenyanalytics.net/wp-content/uploads/2019/09/Understanding-the-AFST-1.pdf;https://www.acf.hhs.gov/cb/research-data-technology/reporting-systems/ncands,https://www.aclu.org/report/automated-future-bias-child-welfare-pre-screening-tool-allegheny-county,3,County implementation documentation; peer-reviewed study by Eubanks; ACLU analysis; federal child welfare data,risk_assessment,predictive risk model,Allegheny County Department of Human Services,welfare_or_social_service_agency,Eckerd Connects,false,deployed,Families reported for child abuse or neglect; disproportionate impact on low-income and Black families,All child welfare hotline calls in Allegheny County; approximately 15000 per year,County administrative data; vendor documentation,essential_services_benefits,Risk assessment pre-screening for child welfare investigations,direct,high,Directly maps to Annex III essential services: AI risk scoring affecting child welfare decisions and family separation,US deployment; Annex III mapping is analytical reference only,2,Child welfare decisions can result in family separation; consequential and potentially irreversible,high,1,Caseworkers can override but tool score documented as materially influencing investigation and removal decisions,medium,2,Families under investigation including children and welfare-dependent households; children particularly vulnerable,high,1,Caseworkers formally decide but extent of deviation from score in practice unclear,medium,1,Standard child welfare appeals exist; algorithm itself cannot be formally challenged in proceedings,medium,1,County-level deployment in single Pennsylvania county,high,1,Some documentation published; AFST feature list partially disclosed; score calculation not fully transparent to families,medium,1,Ongoing academic monitoring by Eubanks and others; independent RAND audit conducted; some evaluation published,medium,"The Allegheny Family Screening Tool scores all calls to the child abuse hotline using predictive analytics drawing on administrative data about poverty, housing, and prior system contact. Virginia Eubanks documented significant proxy discrimination concerns in her book Automating Inequality (2018).",Extensively studied; Eubanks 2018 critique most widely cited; county commissioned RAND evaluation; ongoing scholarly debate,Extent to which AFST causes versus reflects existing racial and poverty disparities in child welfare outcomes is methodologically contested,,2026-05-27,10,high,8,0,0.7875,10,10,10,high,high,high,False,False,False,False,0.2.0
CSA-LITE-0010,Durham Constabulary HART Custody Risk Tool,Durham HART,2017,2017,United Kingdom,Northern Europe,united_kingdom,AIAAIC,https://www.bigbrotherwatch.org.uk/wp-content/uploads/2019/05/Face-Off-campaign-update-FINAL.pdf;https://www.tandfonline.com/doi/full/10.1080/01924036.2019.1589241,,3,Big Brother Watch investigation; peer-reviewed academic publication; custody suite inspection reports,risk_assessment,machine learning risk classifier,Durham Constabulary,law_enforcement_agency,,false,piloted,Custody suspects assessed for detention and release decisions,All custody decisions at Durham Constabulary; approximately 15000 annually,Durham Constabulary stated scale; academic publication,law_enforcement,Risk assessment used in police custody decision-making,direct,high,Directly maps to Annex III law enforcement: risk assessment tool informing custody and detention decisions,UK deployment; Annex III mapping is analytical reference only,2,Custody decisions affect liberty; risk score influences bail and detention outcomes,high,1,Score informs custody decisions; officers formally retain authority but documented influence on decisions,medium,2,Suspects in custody; incarceration context constitutes heightened vulnerability,high,1,Custody officers formally decide; extent of deviation from score in practice unclear,medium,1,Standard pre-trial legal representation available; algorithm not individually disclosed in proceedings,medium,1,Regional deployment within one police force area,high,2,No public documentation of model features or weights; referred to in academic literature only partially,high,1,Big Brother Watch investigation triggered some disclosure; academic review published; partial monitoring,medium,"Durham Constabulary's HART system was described as the first operational AI custody risk tool in the UK. It classified suspects as high, medium, or low risk to inform custody conditions and release decisions. Big Brother Watch and academic researchers raised concerns about transparency and absence of formal legal disclosure.",First known operational police AI risk assessment tool in UK; Big Brother Watch 2019 investigation triggered disclosure; academic paper published details,Exact features used and weights assigned not publicly disclosed; operational status post-2019 not clearly confirmed in public record,,2026-05-27,11,high,8,0,0.83,11,11,11,high,high,high,False,False,False,False,0.2.0
