case_id,case_name,source_repository,primary_sources,secondary_sources,source_quality_score,source_quality_rationale,last_verified_date,dataset_version
CSA-LITE-0001,COMPAS Recidivism Risk Scoring Tool,AIAAIC,https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing;https://www.documentcloud.org/documents/2702103-ProPublica-Methods-and-Analysis.html,https://www.washingtonpost.com/news/monkey-cage/wp/2016/10/17/can-an-algorithm-be-racist/,4,Primary investigative journalism with published methodology; Wisconsin Supreme Court filings; peer-reviewed academic literature,2026-05-27,0.2.0
CSA-LITE-0002,Australian Robodebt Welfare Debt Recovery,AIAAIC,https://robodebt.royalcommission.gov.au/publications/report;https://www.abc.net.au/news/2019-07-30/robodebt-to-be-investigated-by-senate-inquiry/11360106,,4,Royal Commission with full published report; Senate inquiry; multiple court proceedings; extensive investigative journalism,2026-05-27,0.2.0
CSA-LITE-0003,UK Ofqual A-Level Calculated Grades Algorithm 2020,AIAAIC,https://www.ofqual.gov.uk/files/2020-09-07-letter-to-students.pdf;https://www.gov.uk/government/publications/awarding-gcse-as-a-levels-in-summer-2020-info-for-heads-of-centre-principals-relevant-ao,https://www.theguardian.com/education/2020/aug/13/england-a-level-results-computer-algorithm-override-teachers,3,Government and Ofqual publications; subsequent parliamentary inquiry; substantial investigative journalism,2026-05-27,0.2.0
CSA-LITE-0004,Amazon AI CV Screening Tool,AIAAIC,https://www.reuters.com/article/us-amazon-com-jobs-automation-insight-idUSKCN1MK08G,,3,Reuters investigative reporting with named Amazon sources; confirmed by company; no official government documentation,2026-05-27,0.2.0
CSA-LITE-0005,SyRI Netherlands Welfare Fraud Detection,AIAAIC,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2020:1878;https://www.privacybarometer.nl/maatregel/45/Systeemrisico-indicatie_(SyRI),https://www.amnesty.nl/content/uploads/2019/02/SyRI-uitleg.pdf,4,Court ruling with full legal reasoning; Dutch government legislative history; Amnesty investigation; legal aid proceedings,2026-05-27,0.2.0
CSA-LITE-0006,PredPol Predictive Policing Los Angeles,AIAAIC,https://laist.com/news/lapd-predictive-policing-predpol;https://www.latimes.com/california/story/2020-04-21/lapd-ends-use-of-predictive-policing-technology,,3,Journalism with documented LAPD statements; LAPD audit report; academic studies; ACLU analysis,2026-05-27,0.2.0
CSA-LITE-0007,IBM Watson for Oncology Treatment Recommendations,AIID,https://www.statnews.com/2017/09/05/watson-ibm-cancer/;https://www.bmj.com/content/381/bmj-2023-074374,https://www.healthaffairs.org/doi/10.1377/hlthaff.2020.00026,3,Investigative journalism with named clinical sources; peer-reviewed academic studies; hospital internal audit documents reported publicly,2026-05-27,0.2.0
CSA-LITE-0008,HireVue AI Video Interview Screening,AIAAIC,https://www.acm.org/binaries/content/assets/public-policy/2020-12-hirevue-report.pdf;https://theintercept.com/2020/12/08/hugging-face-ai-hiring-bias-hirevue/,https://www.washingtonpost.com/technology/2019/10/22/ai-hiring-face-scanning-algorithm-increasingly-decides-whether-you-deserve-job/,3,ACM technical assessment; The Intercept investigation; journalism with named corporate users; Congressional inquiry documentation,2026-05-27,0.2.0
CSA-LITE-0009,Allegheny Family Screening Tool Child Welfare,AIID,https://www.alleghenyanalytics.net/wp-content/uploads/2019/09/Understanding-the-AFST-1.pdf;https://www.acf.hhs.gov/cb/research-data-technology/reporting-systems/ncands,https://www.aclu.org/report/automated-future-bias-child-welfare-pre-screening-tool-allegheny-county,3,County implementation documentation; peer-reviewed study by Eubanks; ACLU analysis; federal child welfare data,2026-05-27,0.2.0
CSA-LITE-0010,Durham Constabulary HART Custody Risk Tool,AIAAIC,https://www.bigbrotherwatch.org.uk/wp-content/uploads/2019/05/Face-Off-campaign-update-FINAL.pdf;https://www.tandfonline.com/doi/full/10.1080/01924036.2019.1589241,,3,Big Brother Watch investigation; peer-reviewed academic publication; custody suite inspection reports,2026-05-27,0.2.0
