case_id,case_name,annex_iii_area,annex_iii_subcategory,annex_mapping_type,annex_mapping_confidence,annex_mapping_rationale,eu_scope_note,dataset_version
CSA-LITE-0001,COMPAS Recidivism Risk Scoring Tool,law_enforcement,Recidivism risk assessment for criminal justice,direct,high,Directly maps to Annex III law enforcement: automated recidivism scoring used in US criminal sentencing and parole,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0002,Australian Robodebt Welfare Debt Recovery,essential_services_benefits,Automated welfare debt recovery and overpayment assessment,direct,high,Directly maps to Annex III essential services: automated eligibility and debt determination affecting welfare access,Australian deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0003,UK Ofqual A-Level Calculated Grades Algorithm 2020,education_vocational_training,Automated grade standardisation replacing teacher-assessed grades for university access,direct,high,Directly maps to Annex III education: automated system determining grades for university access decisions,UK deployment; pre-dates UK AI Act; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0004,Amazon AI CV Screening Tool,employment_worker_management,Automated CV screening and ranking for technical job applications,direct,high,Directly maps to Annex III employment: AI system used for recruitment screening and candidate ranking,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0005,SyRI Netherlands Welfare Fraud Detection,essential_services_benefits,Automated welfare fraud risk profiling of entire postcode populations,direct,high,Directly maps to Annex III essential services: automated risk scoring affecting welfare benefits and social service access,EU member state deployment; struck down by Hague District Court as violating ECHR Art.8; cited in EU AI Act debates,0.2.0
CSA-LITE-0006,PredPol Predictive Policing Los Angeles,law_enforcement,Crime location prediction directing police patrol resources,direct,high,Directly maps to Annex III law enforcement: AI system used for predictive risk assessment directing police deployment,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0007,IBM Watson for Oncology Treatment Recommendations,non_annex_comparator,Clinical decision support for oncology; healthcare not enumerated in Annex III,comparator,medium,Healthcare clinical decision support does not fall within Annex III; mapped as non-Annex comparator for cross-domain analysis,US origin deployed internationally; not within EU AI Act scope at time of deployment,0.2.0
CSA-LITE-0008,HireVue AI Video Interview Screening,employment_worker_management,Automated video interview analysis for hiring pre-screening,direct,high,Directly maps to Annex III employment: AI system used for pre-screening job applicants before human review,US-headquartered; deployed globally including in EU member states,0.2.0
CSA-LITE-0009,Allegheny Family Screening Tool Child Welfare,essential_services_benefits,Risk assessment pre-screening for child welfare investigations,direct,high,Directly maps to Annex III essential services: AI risk scoring affecting child welfare decisions and family separation,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0010,Durham Constabulary HART Custody Risk Tool,law_enforcement,Risk assessment used in police custody decision-making,direct,high,Directly maps to Annex III law enforcement: risk assessment tool informing custody and detention decisions,UK deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0011,France Parcoursup University Admission Algorithm,education_vocational_training,Automated ranking and allocation of university applicants to places,direct,high,Directly maps to Annex III education: AI system determining university access decisions for all French students,EU member state deployment; operated under French law,0.2.0
CSA-LITE-0012,Netherlands Childcare Benefit Algorithm Toeslagenaffaire,essential_services_benefits,Automated fraud flagging for childcare benefit claims,direct,high,Directly maps to Annex III essential services: automated fraud detection affecting welfare benefit access,EU member state deployment; landmark case cited in EU AI Act legislative history,0.2.0
CSA-LITE-0013,UK Home Office Visa Streaming Algorithm,migration_asylum_border_control,Automated streaming of visa applications to fast or slow processing tracks,direct,high,Directly maps to Annex III migration: automated processing system affecting visa and immigration decisions,UK deployment outside EU AI Act scope; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0014,Detroit Police Facial Recognition False Arrest,biometrics,Facial recognition for suspect identification in criminal investigations,direct,high,Directly maps to Annex III biometrics: facial recognition used in law enforcement identification,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0015,Clearview AI Facial Recognition Mass Surveillance,biometrics,Facial recognition enabling identification of individuals from scraped public internet images,direct,high,Directly maps to Annex III biometrics: large-scale remote biometric identification using scraped internet images,Subject to enforcement by ICO UK and CNIL France; multiple GDPR enforcement actions; under EU AI Act this system type would constitute prohibited practice,0.2.0
CSA-LITE-0016,Arkansas Medicaid Personal Care Algorithm,essential_services_benefits,Automated determination of personal care service hours for disabled Medicaid recipients,direct,high,Directly maps to Annex III essential services: automated eligibility determination for essential health and care services,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0017,Optum Patient Risk Algorithm Racial Bias,essential_services_benefits,Automated patient risk scoring for health care management program allocation,analogous,high,Analogous to Annex III essential services: automated scoring determining access to health care management resources affecting essential health services,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0018,Houston ISD EVAAS Teacher Evaluation AI,employment_worker_management,Value-added model for teacher performance evaluation used in hiring and termination decisions,direct,high,Directly maps to Annex III employment: AI system used in performance evaluation affecting employment,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0019,EU iBorderCtrl Automated Border Deception Detection,migration_asylum_border_control,Automated deception detection pre-screening for border crossers,direct,high,Directly maps to Annex III migration: risk assessment tool used at EU external borders for third-country nationals,EU-funded Horizon 2020 pilot; deployed in Hungary at EU external border,0.2.0
CSA-LITE-0020,Schufa Automated Credit Scoring ECJ Case,essential_services_benefits,Automated credit scoring determining access to credit and financial services,direct,high,Directly maps to Annex III essential services: automated scoring for credit access affecting basic financial services,EU member state deployment; ECJ ruling Dec 2023 establishes GDPR Art.22 requirements applicable,0.2.0
CSA-LITE-0021,UK DWP Universal Credit Fraud Detection AI,essential_services_benefits,Automated fraud detection triggering benefit investigations and potential suspension,direct,high,Directly maps to Annex III essential services: automated fraud detection affecting welfare benefit access,UK deployment; outside EU AI Act scope; Annex III mapping is analytical reference only,0.2.0
