case_id,case_name,annex_iii_area,unknown_as_zero_score,unknown_as_zero_band,unknown_as_neutral_score,unknown_as_neutral_band,unknown_as_conservative_score,unknown_as_conservative_band,sensitivity_band_change,missing_dimensions_count
CSA-LITE-0001,COMPAS Recidivism Risk Scoring Tool,law_enforcement,14,severe,14,severe,14,severe,False,0
CSA-LITE-0002,Australian Robodebt Welfare Debt Recovery,essential_services_benefits,16,severe,16,severe,16,severe,False,0
CSA-LITE-0003,UK Ofqual A-Level Calculated Grades Algorithm 2020,education_vocational_training,14,severe,14,severe,14,severe,False,0
CSA-LITE-0004,Amazon AI CV Screening Tool,employment_worker_management,12,severe,12,severe,12,severe,False,0
CSA-LITE-0005,SyRI Netherlands Welfare Fraud Detection,essential_services_benefits,16,severe,16,severe,16,severe,False,0
CSA-LITE-0006,PredPol Predictive Policing Los Angeles,law_enforcement,12,severe,12,severe,12,severe,False,0
CSA-LITE-0007,IBM Watson for Oncology Treatment Recommendations,non_annex_comparator,10,high,10,high,10,high,False,0
CSA-LITE-0008,HireVue AI Video Interview Screening,employment_worker_management,13,severe,13,severe,13,severe,False,0
CSA-LITE-0009,Allegheny Family Screening Tool Child Welfare,essential_services_benefits,10,high,10,high,10,high,False,0
CSA-LITE-0010,Durham Constabulary HART Custody Risk Tool,law_enforcement,11,high,11,high,11,high,False,0
CSA-LITE-0011,France Parcoursup University Admission Algorithm,education_vocational_training,10,high,10,high,10,high,False,0
CSA-LITE-0012,Netherlands Childcare Benefit Algorithm Toeslagenaffaire,essential_services_benefits,16,severe,16,severe,16,severe,False,0
CSA-LITE-0013,UK Home Office Visa Streaming Algorithm,migration_asylum_border_control,16,severe,16,severe,16,severe,False,0
CSA-LITE-0014,Detroit Police Facial Recognition False Arrest,biometrics,12,severe,12,severe,12,severe,False,0
CSA-LITE-0015,Clearview AI Facial Recognition Mass Surveillance,biometrics,13,severe,13,severe,13,severe,False,0
CSA-LITE-0016,Arkansas Medicaid Personal Care Algorithm,essential_services_benefits,14,severe,14,severe,14,severe,False,0
CSA-LITE-0017,Optum Patient Risk Algorithm Racial Bias,essential_services_benefits,14,severe,14,severe,14,severe,False,0
CSA-LITE-0018,Houston ISD EVAAS Teacher Evaluation AI,employment_worker_management,13,severe,13,severe,13,severe,False,0
CSA-LITE-0019,EU iBorderCtrl Automated Border Deception Detection,migration_asylum_border_control,11,high,11,high,11,high,False,0
CSA-LITE-0020,Schufa Automated Credit Scoring ECJ Case,essential_services_benefits,13,severe,13,severe,13,severe,False,0
CSA-LITE-0021,UK DWP Universal Credit Fraud Detection AI,essential_services_benefits,14,severe,14,severe,14,severe,False,0
CSA-LITE-0022,Meta Facebook Content Amplification Algorithm,non_annex_comparator,12,severe,12,severe,12,severe,False,0
CSA-LITE-0023,Twitter Algorithmic Image Cropping Racial Bias,non_annex_comparator,7,moderate,7,moderate,7,moderate,False,0
CSA-LITE-0024,Palantir Gotham Chicago Police Department,law_enforcement,11,high,11,high,11,high,False,0
CSA-LITE-0025,New York City Pre-Trial Risk Assessment Instrument,law_enforcement,11,high,11,high,11,high,False,0
CSA-LITE-0026,HunchLab Predictive Policing Philadelphia,law_enforcement,11,high,11,high,11,high,False,0
CSA-LITE-0027,NHS Babylon GP at Hand AI Triage,non_annex_comparator,7,moderate,7,moderate,7,moderate,False,0
CSA-LITE-0028,Uber Driver Algorithmic Deactivation,employment_worker_management,13,severe,13,severe,13,severe,False,0
CSA-LITE-0029,Idaho Medicaid Personal Care Acuity Algorithm,essential_services_benefits,14,severe,14,severe,14,severe,False,0
CSA-LITE-0030,Canada IRCC Chinook Immigration Application Tool,migration_asylum_border_control,12,severe,12,severe,12,severe,False,0
CSA-LITE-0031,London Metropolitan Police Live Facial Recognition,biometrics,9,high,9,high,9,high,False,0
CSA-LITE-0032,TikTok For You Page Recommendation Algorithm,non_annex_comparator,12,severe,12,severe,12,severe,False,0
CSA-LITE-0033,LinkedIn Job Recommendation Algorithmic Bias,employment_worker_management,9,high,9,high,9,high,False,0
CSA-LITE-0034,Epic Sepsis Prediction Model Clinical Deployment,non_annex_comparator,11,high,11,high,11,high,False,0
CSA-LITE-0035,Austria AMS Employment Profiling Algorithm,employment_worker_management,11,high,11,high,11,high,False,0
CSA-LITE-0036,French Judicial Analytics Open Data Justice AI,justice_democratic_processes,8,high,8,high,8,high,False,0
CSA-LITE-0037,SenseTime Xinjiang Ethnic Surveillance System,biometrics,16,severe,16,severe,16,severe,False,0
CSA-LITE-0038,New York City Teacher Value-Added Model Publication,employment_worker_management,11,high,11,high,11,high,False,0
CSA-LITE-0039,Workday AI Hiring Algorithm Discrimination Lawsuit,employment_worker_management,13,severe,13,severe,13,severe,False,0
CSA-LITE-0040,Chicago Police Strategic Subject List,law_enforcement,14,severe,14,severe,14,severe,False,0
CSA-LITE-0041,Pymetrics AI Hiring Games Unilever Partnership,employment_worker_management,13,severe,13,severe,13,severe,False,0
CSA-LITE-0042,France CAF Social Benefits Algorithmic Fraud Scoring,essential_services_benefits,13,severe,13,severe,13,severe,False,0
CSA-LITE-0043,Google Photos Racial Misclassification of Users,non_annex_comparator,8,high,8,high,8,high,False,0
CSA-LITE-0044,UK DWP Targeted Case Review AI Investigation,essential_services_benefits,14,severe,14,severe,14,severe,False,0
CSA-LITE-0045,South Wales Police Automated Facial Recognition Bridges Case,biometrics,9,high,9,high,9,high,False,0
